river1,section,lat,lon,river
WB Jimmy,1,42.43456192,-72.67028945,001
WB Jimmy,2,42.43474058,-72.67044088,001
WB Jimmy,3,42.43489266,-72.67056735,001
WB Jimmy,4,42.43507756,-72.67070369,001
WB Jimmy,5,42.43524356,-72.67077381,001
WB Jimmy,6,42.43544227,-72.67079573,001
WB Jimmy,7,42.43564285,-72.67087931,001
WB Jimmy,8,42.43582724,-72.67094527,001
WB Jimmy,9,42.43602095,-72.67092297,001
WB Jimmy,10,42.43619985,-72.67086821,001
WB Jimmy,11,42.43636466,-72.67081151,001
WB Jimmy,12,42.43654575,-72.67074806,001
WB Jimmy,13,42.43672597,-72.67068491,001
WB Jimmy,14,42.43690276,-72.67062313,001
WB Mitchell,1,42.43342412,-72.66812387,01
WB Mitchell,2,42.43361561,-72.66806191,01
WB Mitchell,3,42.43380677,-72.6679981,01
WB Mitchell,4,42.43398127,-72.66792978,01
WB Mitchell,5,42.4341398,-72.66783445,01
WB Mitchell,6,42.43428354,-72.66765251,01
WB Mitchell,7,42.43441216,-72.66747461,01
WB Mitchell,8,42.43459037,-72.66738569,01
WB Mitchell,9,42.43479893,-72.66744156,01
WB Mitchell,10,42.43498781,-72.66752373,01
WB Mitchell,11,42.43514387,-72.66752376,01
WB Mitchell,12,42.43534153,-72.6674729,01
WB Mitchell,13,42.43553644,-72.66739999,01
WB Mitchell,14,42.43570226,-72.66730323,01
WB Mitchell,15,42.43585346,-72.66711456,01
WB Obear,1,42.4347646,-72.67141752,0001
WB Obear,2,42.4346665,-72.67163191,0001
WB Obear,3,42.43454365,-72.67180666,0001
WB Obear,4,42.43438699,-72.67191645,0001
WB Obear,5,42.434192,-72.67198907,0001
WB Obear,6,42.43400522,-72.67205164,0001
WB Obear,7,42.43380174,-72.67212363,0001
WB Obear,8,42.43363327,-72.67220514,0001
WB Obear,9,42.43348179,-72.67235397,0001
WB Obear,10,42.43335631,-72.67254176,0001
WB Obear,11,42.43320398,-72.6726987,0001
WB Obear,12,42.43303916,-72.67287279,0001
WB Obear,13,42.43294716,-72.67303657,0001
WB Obear,14,42.43283598,-72.67328329,0001
WB Obear,15,42.43274731,-72.67353412,0001
West Brook,1,42.43156482,-72.66401297,0
West Brook,2,42.43167149,-72.66422061,0
West Brook,3,42.43182096,-72.66441021,0
West Brook,4,42.43193824,-72.66460794,0
West Brook,5,42.43203836,-72.66481319,0
West Brook,6,42.43216921,-72.66498319,0
West Brook,7,42.43232162,-72.66521173,0
West Brook,8,42.43241166,-72.66540143,0
West Brook,9,42.432549,-72.6655865,0
West Brook,10,42.43267889,-72.66577251,0
West Brook,11,42.43275413,-72.66599629,0
West Brook,12,42.43281013,-72.66626691,0
West Brook,13,42.4328534,-72.66650552,0
West Brook,14,42.43289412,-72.66673618,0
West Brook,15,42.43294115,-72.66700251,0
West Brook,16,42.43299324,-72.66729233,0
West Brook,17,42.43303798,-72.66752411,0
West Brook,18,42.43310476,-72.66775539,0
West Brook,19,42.43322665,-72.66794722,00
West Brook,20,42.43338456,-72.6680944,00
West Brook,21,42.43345665,-72.66831854,00
West Brook,22,42.43350075,-72.66857953,00
West Brook,23,42.43354876,-72.6688329,00
West Brook,24,42.43361743,-72.66907805,00
West Brook,25,42.43373576,-72.66927691,00
West Brook,26,42.43386203,-72.66943237,00
West Brook,27,42.43397273,-72.66963577,00
West Brook,28,42.43408451,-72.6698364,00
West Brook,29,42.43422094,-72.66997852,00
West Brook,30,42.4343686,-72.67010771,00
West Brook,31,42.43454194,-72.67026781,000
West Brook,32,42.43460063,-72.67049462,000
West Brook,33,42.43464335,-72.67073216,0000
West Brook,34,42.43468794,-72.67099426,0000
West Brook,35,42.4347308,-72.67123302,0000
West Brook,36,42.43477652,-72.67148175,0000
West Brook,37,42.43477367,-72.67174964,0000
West Brook,38,42.4347254,-72.67199257,0000
West Brook,39,42.43468156,-72.67219396,0000
West Brook,40,42.43468033,-72.6724193,0000
West Brook,41,42.43470552,-72.67266273,0000
West Brook,42,42.43471365,-72.67289435,0000
West Brook,43,42.43466904,-72.67314314,0000
West Brook,44,42.43467719,-72.67342772,0000
West Brook,45,42.43479594,-72.6735986,0000
West Brook,46,42.43491086,-72.67380534,0000
West Brook,47,42.43502892,-72.67402248,0000
